""	"logFC"	"P.Value"	"adj.P.Val"
"FZD8"	-2.53051265331226	1.62902627918209e-06	0.000284899443941522
"MAN1A1"	-2.1166056817825	1.63379644627165e-06	0.000284899443941522
"PGBD5"	2.09604324971309	1.7126088126841e-06	0.000294185295898229
"DOCK2"	2.56403712688417	1.8495161893654e-06	0.000311029185046466
"PAGE5"	-6.33623918494641	1.86471576750423e-06	0.000311029185046466
"SPDEF"	-6.9757193562265	1.98647649940648e-06	0.000321625199448425
"TMLHE"	-6.22207522745877	2.00840839741167e-06	0.000321625199448425
"TUB"	2.78017454959123	2.01207875230572e-06	0.000321625199448425
"ARSI"	2.85044665080334	2.05937693179009e-06	0.000324676289150304
"HOOK1"	-4.48640057105061	2.14289995248951e-06	0.000330005627198305
"PTGS2"	-4.43298660325148	2.15052759057024e-06	0.000330005627198305
"F13A1"	-3.98788240355597	2.25932371797743e-06	0.000342138903555292
"FSIP2"	-3.64964564783563	2.29345641850828e-06	0.000342797271696257
"PAIP2B"	-2.25341322912902	2.39911610760464e-06	0.000353992657466946
"MAGEA12"	2.95202325261722	2.46935681815675e-06	0.000357588440349572
"CFH"	-1.92325084573783	2.48562648605142e-06	0.000357588440349572
"CYP24A1"	-3.53657022770111	2.57383747672018e-06	0.000358898924067744
"FAM49A"	-2.37901356130335	2.57565928531438e-06	0.000358898924067744
"GDF5"	2.30622234143762	2.5882883567315e-06	0.000358898924067744
"TNFRSF1B"	2.45436208372848	2.72076416687701e-06	0.000372777080911756
"LINC00261"	-9.15782559745477	2.79101929170185e-06	0.000376110317058734
"DGCR5"	3.15313047064868	2.81045158285265e-06	0.000376110317058734
"HVCN1"	3.7813700192273	2.84330076017268e-06	0.00037613274079112
"SLC4A11"	-2.25462478326581	2.89075827524185e-06	0.000378065193065436
"ARHGAP28"	-4.06679516457455	3.0681158314392e-06	0.000396752192180154
"SLC12A7"	2.06211954549127	3.14968402764137e-06	0.000402774594156939
"GJB3"	2.2314153845993	3.21776210940853e-06	0.000406958506782229
"SPNS2"	-2.98462378594037	3.39126499852424e-06	0.000424239879000168
"AQP1"	-4.38002555444451	3.57865001932827e-06	0.000442867559918807
"LHFPL4"	2.02196037605408	3.78329651827539e-06	0.00046321233647693
"NSUN7"	2.13560732648033	4.04317157722281e-06	0.000489819596655341
"C20orf96"	-1.88613720452185	4.14912522648783e-06	0.000497419606579671
"LOC100271722"	-1.73198104426629	4.60035943312807e-06	0.000542471282286162
"STMN3"	3.55970202694379	4.62738016092579e-06	0.000542471282286162
"ITGB2"	-2.69665308683551	4.66631826799288e-06	0.000542471282286162
"PSG9"	-2.1782357202273	4.76910306479931e-06	0.000548876071727753
"NREP"	1.87002181551339	4.91710088725159e-06	0.000549558399032013
